,date,cell_num,nr_people,hours,minutes
86984,2017-04-20,493-1264,21.0,2.0,15.0
87205,2017-04-20,493-1264,21.0,2.0,30.0
87426,2017-04-20,493-1264,20.0,2.0,45.0
87647,2017-04-20,493-1264,20.0,3.0,0.0
87868,2017-04-20,493-1264,20.0,3.0,15.0
88089,2017-04-20,493-1264,20.0,3.0,30.0
88310,2017-04-20,493-1264,20.0,3.0,45.0
88531,2017-04-20,493-1264,20.0,4.0,0.0
88752,2017-04-20,493-1264,20.0,4.0,15.0
88973,2017-04-20,493-1264,20.0,4.0,30.0
89194,2017-04-20,493-1264,20.0,4.0,45.0
89415,2017-04-20,493-1264,20.0,5.0,0.0
89636,2017-04-20,493-1264,20.0,5.0,15.0
89857,2017-04-20,493-1264,20.0,5.0,30.0
90078,2017-04-20,493-1264,21.0,5.0,45.0
90299,2017-04-20,493-1264,20.0,6.0,0.0
90520,2017-04-20,493-1264,20.0,6.0,15.0
90741,2017-04-20,493-1264,20.0,6.0,30.0
90962,2017-04-20,493-1264,20.0,6.0,45.0
91183,2017-04-20,493-1264,20.0,7.0,0.0
91404,2017-04-20,493-1264,21.0,7.0,15.0
91625,2017-04-20,493-1264,22.0,7.0,30.0
91846,2017-04-20,493-1264,23.0,7.0,45.0
92067,2017-04-20,493-1264,23.0,8.0,0.0
92288,2017-04-20,493-1264,23.0,8.0,15.0
92509,2017-04-20,493-1264,24.0,8.0,30.0
92730,2017-04-20,493-1264,26.0,8.0,45.0
92951,2017-04-20,493-1264,26.0,9.0,0.0
93172,2017-04-20,493-1264,25.0,9.0,15.0
93393,2017-04-20,493-1264,26.0,9.0,30.0
93614,2017-04-20,493-1264,26.0,9.0,45.0
93835,2017-04-20,493-1264,26.0,10.0,0.0
94056,2017-04-20,493-1264,26.0,10.0,15.0
94277,2017-04-20,493-1264,26.0,10.0,30.0
94498,2017-04-20,493-1264,25.0,10.0,45.0
94719,2017-04-20,493-1264,25.0,11.0,0.0
94940,2017-04-20,493-1264,25.0,11.0,15.0
95161,2017-04-20,493-1264,26.0,11.0,30.0
95382,2017-04-20,493-1264,26.0,11.0,45.0
95603,2017-04-20,493-1264,26.0,12.0,0.0
95824,2017-04-20,493-1264,24.0,12.0,15.0
96045,2017-04-20,493-1264,25.0,12.0,30.0
96266,2017-04-20,493-1264,25.0,12.0,45.0
96487,2017-04-20,493-1264,26.0,13.0,0.0
96708,2017-04-20,493-1264,27.0,13.0,15.0
96929,2017-04-20,493-1264,27.0,13.0,30.0
97150,2017-04-20,493-1264,27.0,13.0,45.0
97371,2017-04-20,493-1264,27.0,14.0,0.0
97592,2017-04-20,493-1264,26.0,14.0,15.0
97813,2017-04-20,493-1264,26.0,14.0,30.0
98034,2017-04-20,493-1264,27.0,14.0,45.0
98255,2017-04-20,493-1264,29.0,15.0,0.0
98476,2017-04-20,493-1264,29.0,15.0,15.0
98697,2017-04-20,493-1264,29.0,15.0,30.0
98918,2017-04-20,493-1264,29.0,15.0,45.0
99139,2017-04-20,493-1264,30.0,16.0,0.0
99360,2017-04-20,493-1264,30.0,16.0,15.0
99581,2017-04-20,493-1264,32.0,16.0,30.0
99802,2017-04-20,493-1264,33.0,16.0,45.0
100023,2017-04-20,493-1264,30.0,17.0,0.0
100244,2017-04-20,493-1264,31.0,17.0,15.0
100465,2017-04-20,493-1264,31.0,17.0,30.0
100686,2017-04-20,493-1264,31.0,17.0,45.0
100907,2017-04-20,493-1264,31.0,18.0,0.0
101128,2017-04-20,493-1264,33.0,18.0,15.0
101349,2017-04-20,493-1264,33.0,18.0,30.0
101570,2017-04-20,493-1264,32.0,18.0,45.0
101791,2017-04-20,493-1264,33.0,19.0,0.0
102012,2017-04-20,493-1264,32.0,19.0,15.0
102233,2017-04-20,493-1264,32.0,19.0,30.0
102454,2017-04-20,493-1264,30.0,19.0,45.0
102675,2017-04-20,493-1264,30.0,20.0,0.0
102896,2017-04-20,493-1264,29.0,20.0,15.0
103117,2017-04-20,493-1264,29.0,20.0,30.0
103338,2017-04-20,493-1264,29.0,20.0,45.0
103559,2017-04-20,493-1264,29.0,21.0,0.0
103780,2017-04-20,493-1264,28.0,21.0,15.0
104001,2017-04-20,493-1264,27.0,21.0,30.0
104222,2017-04-20,493-1264,27.0,21.0,45.0
104443,2017-04-20,493-1264,27.0,22.0,0.0
104664,2017-04-20,493-1264,27.0,22.0,15.0
104885,2017-04-20,493-1264,27.0,22.0,30.0
105106,2017-04-20,493-1264,26.0,22.0,45.0
105327,2017-04-20,493-1264,26.0,23.0,0.0
105548,2017-04-20,493-1264,26.0,23.0,15.0
105769,2017-04-20,493-1264,26.0,23.0,30.0
105990,2017-04-20,493-1264,26.0,23.0,45.0
106211,2017-04-21,493-1264,26.0,0.0,0.0
106432,2017-04-21,493-1264,26.0,0.0,15.0
106653,2017-04-21,493-1264,25.0,0.0,30.0
106874,2017-04-21,493-1264,24.0,0.0,45.0
107095,2017-04-21,493-1264,24.0,1.0,0.0
107316,2017-04-21,493-1264,23.0,1.0,15.0
107537,2017-04-21,493-1264,23.0,1.0,30.0
107758,2017-04-21,493-1264,23.0,1.0,45.0
107979,2017-04-21,493-1264,22.0,2.0,0.0
108200,2017-04-21,493-1264,22.0,2.0,15.0
